PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Input case,Size
4.323486328125,3.7589111328125,0.3038330078125,417.228,76.0,best,25000.0
4.13818359375,3.6229858398437504,0.28564453125,397.0,76.0,best,25000.0
4.07037353515625,3.5301513671875,0.29180908203125,431.361,76.0,best,25000.0
4.171142578125,3.6465454101562496,0.281494140625,405.436,76.0,best,25000.0
4.26611328125,3.7294311523437504,0.29840087890625,408.94,76.0,best,25000.0
4.2742919921875,3.7402954101562496,0.29833984375,408.916,76.0,best,25000.0
4.31732177734375,3.7683715820312496,0.302001953125,416.577,76.0,best,25000.0
4.1802978515625,3.6533203125,0.28900146484375,403.589,76.0,best,25000.0
4.11956787109375,3.5767822265625,0.2855224609375,439.844,76.0,best,25000.0
4.247802734375,3.710693359375,0.29046630859375,420.025,76.0,best,25000.0
4.166748046875,3.6445922851562496,0.2845458984375,391.44,76.0,best,25000.0
4.18719482421875,3.6519165039062496,0.2845458984375,415.257,76.0,best,25000.0
4.2332763671875,3.6770629882812496,0.3033447265625,422.829,76.0,best,25000.0
4.3399658203125,3.807373046875,0.2911376953125,403.718,76.0,best,25000.0
4.3099365234375,3.7642822265625,0.2965087890625,417.89,76.0,best,25000.0
4.14862060546875,3.6217651367187504,0.29119873046875,398.616,76.0,best,25000.0
4.23681640625,3.664306640625,0.30120849609375,428.077,76.0,best,25000.0
4.02850341796875,3.5311279296875,0.26739501953125,394.646,76.0,best,25000.0
4.2735595703125,3.734130859375,0.298095703125,410.786,76.0,best,25000.0
4.23590087890625,3.6882934570312496,0.30352783203125,426.648,77.0,best,25000.0
4.2381591796875,3.6885986328125,0.2967529296875,435.029,77.0,best,25000.0
4.22344970703125,3.655517578125,0.2830810546875,402.707,77.0,best,25000.0
4.115966796875,3.60302734375,0.2777099609375,383.818,77.0,best,25000.0
4.24365234375,3.7002563476562496,0.3009033203125,413.239,77.0,best,25000.0
4.25189208984375,3.7222290039062496,0.28680419921875,413.748,77.0,best,25000.0
