PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Input case,Size
1.5865478515625,1.3668212890625,0.127685546875,174.388,70.0,best,25000
1.70574951171875,1.4697265625,0.14007568359375,184.294,70.0,best,25000
1.80780029296875,1.52862548828125,0.14910888671875,190.808,70.0,best,25000
1.75689697265625,1.51910400390625,0.14019775390625,179.064,70.0,best,25000
1.701904296875,1.471435546875,0.1365966796875,169.56,70.0,best,25000
1.5882568359375,1.36480712890625,0.12890625,173.322,70.0,best,25000
1.59991455078125,1.3748779296875,0.1318359375,173.761,68.0,best,25000
1.6309814453125,1.39666748046875,0.13604736328125,175.444,68.0,best,25000
1.71563720703125,1.47479248046875,0.13861083984375,173.932,68.0,best,25000
1.574951171875,1.35015869140625,0.12860107421875,171.944,68.0,best,25000
1.6021728515625,1.38092041015625,0.12713623046875,174.03,68.0,best,25000
1.7220458984375,1.48681640625,0.13909912109375,175.608,68.0,best,25000
1.7012939453125,1.44378662109375,0.1365966796875,180.744,66.0,best,25000
1.73590087890625,1.50299072265625,0.14093017578125,177.559,66.0,best,25000
1.59423828125,1.37005615234375,0.1298828125,174.388,66.0,best,25000
1.70574951171875,1.48309326171875,0.13446044921875,163.66,66.0,best,25000
1.6546630859375,1.41827392578125,0.13946533203125,174.944,64.0,best,25000
1.73590087890625,1.50048828125,0.14337158203125,177.97,64.0,best,25000
1.606689453125,1.38055419921875,0.1282958984375,174.793,64.0,best,25000
1.59637451171875,1.3575439453125,0.1337890625,181.101,64.0,best,25000
1.60296630859375,1.375,0.13336181640625,175.53,63.0,best,25000
1.59130859375,1.3660888671875,0.129638671875,173.494,63.0,best,25000
1.607666015625,1.37701416015625,0.1326904296875,174.622,63.0,best,25000
1.57586669921875,1.34051513671875,0.13238525390625,180.968,63.0,best,25000
1.6019287109375,1.36895751953125,0.1302490234375,174.137,63.0,best,25000
1.7257080078125,1.4906005859375,0.14227294921875,170.833,63.0,best,25000
1.55718994140625,1.33795166015625,0.12677001953125,170.914,63.0,best,25000
1.7239990234375,1.4920654296875,0.1417236328125,177.216,63.0,best,25000
1.5870361328125,1.3631591796875,0.12823486328125,172.745,63.0,best,25000
1.57763671875,1.3577880859375,0.1285400390625,171.923,63.0,best,25000
1.5936279296875,1.36712646484375,0.13043212890625,173.597,63.0,best,25000
1.63067626953125,1.39337158203125,0.1328125,175.369,63.0,best,25000
1.770263671875,1.50970458984375,0.149658203125,189.875,63.0,best,25000
1.72259521484375,1.4813232421875,0.1439208984375,174.049,63.0,best,25000
1.7515869140625,1.51226806640625,0.1451416015625,178.583,63.0,best,25000
1.69476318359375,1.4677734375,0.13775634765625,169.329,63.0,best,25000
1.57232666015625,1.3516845703125,0.1256103515625,170.974,63.0,best,25000
1.73004150390625,1.498779296875,0.135986328125,176.145,63.0,best,25000
1.7261962890625,1.48162841796875,0.1407470703125,175.579,64.0,best,25000
1.58819580078125,1.363037109375,0.1298828125,173.962,64.0,best,25000
1.5802001953125,1.3486328125,0.12847900390625,172.509,64.0,best,25000
1.60357666015625,1.37451171875,0.13031005859375,174.087,64.0,best,25000
1.7716064453125,1.52667236328125,0.14373779296875,179.581,64.0,best,25000
1.711669921875,1.4830322265625,0.1385498046875,169.791,64.0,best,25000
1.59210205078125,1.37286376953125,0.1258544921875,173.664,64.0,best,25000
1.5987548828125,1.377197265625,0.1273193359375,174.503,65.0,best,25000
1.74005126953125,1.49725341796875,0.14300537109375,176.128,65.0,best,25000
1.60333251953125,1.373779296875,0.1302490234375,173.663,65.0,best,25000
1.61944580078125,1.3878173828125,0.132568359375,174.241,65.0,best,25000
1.64794921875,1.4119873046875,0.12945556640625,176.299,65.0,best,25000
1.740478515625,1.4940185546875,0.1400146484375,175.312,65.0,best,25000
1.7320556640625,1.49395751953125,0.14056396484375,175.583,65.0,best,25000
1.60882568359375,1.38177490234375,0.1302490234375,174.738,65.0,best,25000
1.7369384765625,1.50469970703125,0.13433837890625,177.549,65.0,best,25000
1.7322998046875,1.49169921875,0.1427001953125,176.504,65.0,best,25000
1.6329345703125,1.39752197265625,0.13201904296875,174.839,65.0,best,25000
1.7489013671875,1.5062255859375,0.1429443359375,176.673,65.0,best,25000
1.59515380859375,1.37078857421875,0.1270751953125,172.953,65.0,best,25000
