PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Input case,Size
89.53344726562499,78.01361083984375,1.91534423828125,12968.1,56,greaterThan0,10000
89.14898681640625,77.65655517578125,1.91131591796875,12964.0,56,greaterThan0,10000
87.6787109375,77.1693115234375,1.7451171875,11817.6,57,greaterThan0,10000
84.4736328125,74.26397705078125,1.69244384765625,11443.9,57,greaterThan0,10000
84.66693115234375,74.4154052734375,1.69696044921875,11461.0,57,greaterThan0,10000
88.87652587890625,78.3447265625,1.74346923828125,11808.2,65,greaterThan0,10000
84.46295166015625,74.2601318359375,1.689453125,11424.1,57,greaterThan0,10000
88.263671875,77.70751953125,1.74774169921875,11822.3,57,greaterThan0,10000
89.0023193359375,78.29254150390625,1.7701416015625,11980.4,57,greaterThan0,10000
84.65496826171875,74.4288330078125,1.69390869140625,11456.0,57,greaterThan0,10000
89.61395263671875,78.04565429687501,1.9136962890625,12969.6,56,greaterThan0,10000
85.67181396484375,75.29711914062499,1.7186279296875,11620.6,57,greaterThan0,10000
85.50341796875,75.16546630859375,1.7139892578125,11586.0,57,greaterThan0,10000
84.55108642578125,74.35272216796875,1.69219970703125,11441.7,57,greaterThan0,10000
90.0816650390625,79.34497070312499,1.77593994140625,11997.7,65,greaterThan0,10000
89.80047607421875,78.27618408203125,1.91571044921875,12972.9,56,greaterThan0,10000
90.26531982421875,78.6900634765625,1.91448974609375,12972.6,63,greaterThan0,10000
88.91802978515625,78.25872802734375,1.77166748046875,11975.4,57,greaterThan0,10000
91.03344726562499,79.45483398437501,1.9163818359375,12982.0,63,greaterThan0,10000
85.26171875,75.07080078125,1.690673828125,11430.1,65,greaterThan0,10000
89.06372070312499,77.51196289062499,1.91375732421875,12965.6,56,greaterThan0,10000
89.29876708984375,77.79370117187501,1.9129638671875,12969.1,56,greaterThan0,10000
85.76800537109375,75.40301513671875,1.72137451171875,11634.7,57,greaterThan0,10000
90.30023193359376,78.74591064453125,1.91424560546875,12955.5,63,greaterThan0,10000
89.73651123046875,78.16015625,1.91925048828125,13009.3,56,greaterThan0,10000
90.14385986328125,78.5931396484375,1.91253662109375,12948.3,63,greaterThan0,10000
337.80499267578125,297.772216796875,6.60723876953125,45013.9,57,greaterThan0,20000
364.51123046875,318.9007568359375,7.500366210937501,51267.5,62,greaterThan0,20000
354.61334228515625,313.0497436523437,6.78961181640625,46627.7,65,greaterThan0,20000
383.0546875,336.73553466796875,7.57861328125,52069.4,57,greaterThan0,20000
362.31158447265625,316.78985595703125,7.43878173828125,51224.3,62,greaterThan0,20000
351.8885498046875,310.44189453125,6.77264404296875,46575.4,57,greaterThan0,20000
351.86297607421875,310.39599609375,6.79217529296875,46598.3,58,greaterThan0,20000
339.3782958984375,299.211181640625,6.560791015625,45013.1,58,greaterThan0,20000
383.9000244140625,337.4760131835937,7.569091796875,52102.7,57,greaterThan0,20000
361.8994140625,316.2454833984375,7.50146484375,51271.1,56,greaterThan0,20000
353.663330078125,312.040283203125,6.85137939453125,46652.0,58,greaterThan0,20000
356.372802734375,314.8077392578125,6.832275390625,46617.3,65,greaterThan0,20000
355.84136962890625,314.207763671875,6.83013916015625,46668.0,65,greaterThan0,20000
353.7403564453125,312.1385498046875,6.82861328125,46604.4,58,greaterThan0,20000
343.17547607421875,302.4036865234375,6.69134521484375,45660.9,58,greaterThan0,20000
342.4100952148437,302.2677001953125,6.61676025390625,45084.0,65,greaterThan0,20000
353.638671875,312.0469970703125,6.83819580078125,46624.2,58,greaterThan0,20000
362.6273193359375,317.0147705078125,7.51068115234375,51289.0,57,greaterThan0,20000
352.21807861328125,310.7459716796875,6.82177734375,46507.9,58,greaterThan0,20000
339.664306640625,299.3646850585937,6.61083984375,45072.9,58,greaterThan0,20000
339.44091796875,299.27105712890625,6.6004638671875,45024.1,58,greaterThan0,20000
343.04742431640625,302.7650756835937,6.62420654296875,45074.6,66,greaterThan0,20000
339.57037353515625,299.2826538085937,6.6160888671875,45079.9,58,greaterThan0,20000
357.680419921875,315.55047607421875,6.92138671875,47251.8,58,greaterThan0,20000
350.8217163085937,309.2435913085937,6.768310546875,46574.2,58,greaterThan0,20000
