PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Input case,Size
1454.7212524414062,1290.5855102539062,27.197814941406246,187663.0,68.0,worst,25000.0
1445.3546142578125,1280.3821411132812,27.169372558593754,187763.0,61.0,worst,25000.0
1462.1057739257812,1296.6198120117188,27.207580566406246,187718.0,70.0,worst,25000.0
1448.2337646484375,1283.0631103515625,27.204833984375,187776.0,61.0,worst,25000.0
1446.8831787109375,1281.769287109375,27.2044677734375,187748.0,61.0,worst,25000.0
1466.4592895507812,1301.0850219726562,27.205505371093754,187713.0,70.0,worst,25000.0
1450.69189453125,1285.5543823242188,27.1820068359375,187690.0,61.0,worst,25000.0
1448.465087890625,1283.436279296875,27.2015380859375,187650.0,61.0,worst,25000.0
1464.4600219726562,1298.8729858398435,27.207763671875,187805.0,70.0,worst,25000.0
1468.2219848632812,1302.8485717773435,27.2125244140625,187717.0,70.0,worst,25000.0
1451.7186889648435,1286.6818237304688,27.214782714843754,187738.0,61.0,worst,25000.0
1447.6324462890625,1282.6121215820312,27.210388183593754,187782.0,61.0,worst,25000.0
1463.9177856445312,1298.3453979492188,27.210266113281246,187698.0,70.0,worst,25000.0
1462.9774780273435,1297.5338134765625,27.224304199218754,187740.0,70.0,worst,25000.0
1466.898193359375,1301.3740234375,27.193603515625,187791.0,70.0,worst,25000.0
1463.00634765625,1297.6073608398435,27.2216796875,187704.0,70.0,worst,25000.0
1462.5112915039062,1297.0113525390625,27.196533203125,187756.0,70.0,worst,25000.0
1463.9957275390625,1298.5527954101562,27.192443847656246,187752.0,69.0,worst,25000.0
1445.74462890625,1280.9049682617188,27.195068359375,187756.0,60.0,worst,25000.0
1461.6448974609375,1295.9793701171875,27.216003417968754,187799.0,69.0,worst,25000.0
1466.248779296875,1298.123046875,27.226501464843754,187778.0,70.0,worst,25000.0
1449.16943359375,1281.5110473632812,27.197204589843754,187746.0,60.0,worst,25000.0
1447.1009521484375,1279.6123046875,27.193786621093754,187723.0,60.0,worst,25000.0
1463.5301513671875,1295.6176147460935,27.202453613281246,187758.0,69.0,worst,25000.0
1464.823486328125,1296.8167724609375,27.195251464843754,187754.0,69.0,worst,25000.0
1449.0206298828125,1281.5242919921875,27.1834716796875,187696.0,60.0,worst,25000.0
5882.767822265625,5211.207885742188,108.575439453125,749790.0,70.0,worst,50000.0
5857.553955078125,5189.488220214844,108.038818359375,745992.0,62.0,worst,50000.0
5785.524108886719,5113.409118652344,108.56488037109376,749491.0,62.0,worst,50000.0
5913.887512207031,5238.5296630859375,108.57769775390624,749622.0,72.0,worst,50000.0
8110.964050292968,7164.588439941406,152.46270751953125,1055110.0,70.0,worst,50000.0
5825.778747558594,5154.925964355469,108.58282470703124,749730.0,61.0,worst,50000.0
5803.497375488281,5133.744567871094,108.51995849609376,749459.0,61.0,worst,50000.0
5823.9150390625,5153.202697753905,108.5791015625,749612.0,61.0,worst,50000.0
7967.3096923828125,7024.059448242188,152.506591796875,1055220.0,60.0,worst,50000.0
8019.423095703125,7072.757446289063,153.2222900390625,1059660.0,61.0,worst,50000.0
8059.949157714843,7115.109008789063,152.45965576171875,1054880.0,69.0,worst,50000.0
5828.025695800781,5157.0196533203125,108.6236572265625,749807.0,61.0,worst,50000.0
7973.171020507812,7030.077209472656,152.4647216796875,1055000.0,60.0,worst,50000.0
5899.357299804688,5228.253784179688,108.54620361328124,749699.0,70.0,worst,50000.0
7975.190002441406,7033.454833984375,152.43560791015625,1054800.0,60.0,worst,50000.0
5819.303283691406,5148.885070800781,108.5308837890625,749591.0,61.0,worst,50000.0
8016.8878173828125,7072.176818847656,152.44317626953125,1054870.0,61.0,worst,50000.0
8109.5653076171875,7157.4068603515625,153.6475830078125,1062560.0,69.0,worst,50000.0
5901.02099609375,5229.820251464844,108.5792236328125,749818.0,70.0,worst,50000.0
5826.479675292969,5155.528198242188,108.564208984375,749624.0,61.0,worst,50000.0
7950.943664550781,7008.672729492188,152.390380859375,1054610.0,60.0,worst,50000.0
5819.157104492188,5148.893371582031,108.57330322265624,749513.0,62.0,worst,50000.0
5843.3795166015625,5172.820556640625,108.59197998046876,749631.0,61.0,worst,50000.0
5898.0772705078125,5227.116149902344,108.54241943359376,749740.0,70.0,worst,50000.0
8098.954101562499,7150.005920410156,153.132568359375,1059630.0,69.0,worst,50000.0
5818.896301269531,5148.644836425781,108.5780029296875,749648.0,61.0,worst,50000.0
5891.364807128905,5220.925476074219,108.5888671875,749686.0,70.0,worst,50000.0
5828.232299804688,5157.749328613281,108.57098388671876,749786.0,61.0,worst,50000.0
7968.0284423828125,7026.300476074219,152.49542236328125,1055100.0,68.0,worst,50000.0
13291.02294921875,11784.885620117188,243.63317871093753,1686080.0,70.0,worst,75000.0
13365.304077148436,11858.438232421877,243.71600341796875,1686290.0,71.0,worst,75000.0
13337.652282714844,11829.268188476562,243.65533447265625,1686090.0,71.0,worst,75000.0
13278.476013183592,11772.123046875,243.61224365234372,1685950.0,70.0,worst,75000.0
13296.03662109375,11789.087097167969,243.637451171875,1686090.0,70.0,worst,75000.0
13169.067321777344,11660.574035644531,243.65026855468753,1686300.0,61.0,worst,75000.0
13303.509948730469,11796.250671386719,243.66998291015625,1686100.0,70.0,worst,75000.0
13130.650634765623,11623.228698730469,243.57434082031247,1685810.0,61.0,worst,75000.0
13187.328796386719,11679.504638671877,243.6611328125,1686170.0,70.0,worst,75000.0
13167.20361328125,11659.347412109377,243.62805175781247,1686080.0,62.0,worst,75000.0
13113.257385253906,11605.889587402344,243.68023681640625,1686250.0,61.0,worst,75000.0
13337.865600585936,11830.568603515623,243.708984375,1686410.0,70.0,worst,75000.0
13149.682556152344,11642.288757324219,243.727783203125,1686040.0,61.0,worst,75000.0
13126.008178710936,11618.77081298828,243.66094970703125,1686110.0,61.0,worst,75000.0
13292.222045898436,11784.92022705078,243.69287109375,1686310.0,70.0,worst,75000.0
13293.638061523436,11785.928161621092,243.74407958984372,1686530.0,70.0,worst,75000.0
13162.427795410156,11654.294555664062,243.64935302734372,1686070.0,61.0,worst,75000.0
13296.485107421877,11787.816223144531,243.61419677734372,1685940.0,70.0,worst,75000.0
13300.072387695312,11791.8203125,243.64556884765625,1686050.0,70.0,worst,75000.0
13128.361877441406,11620.725463867188,243.63934326171875,1685950.0,62.0,worst,75000.0
13303.721069335936,11796.353698730469,243.62060546875,1685950.0,71.0,worst,75000.0
13312.64483642578,11805.183288574219,243.62854003906247,1686010.0,71.0,worst,75000.0
13183.513793945312,11674.221740722656,243.70843505859372,1686360.0,61.0,worst,75000.0
13332.047119140623,11823.506042480469,243.63397216796875,1685950.0,71.0,worst,75000.0
32219.530822753903,28443.359802246094,608.2161254882812,4220540.0,69.0,worst,100000.0
23804.600341796875,21121.155151367188,432.58148193359375,2998240.0,71.0,worst,100000.0
31990.71875,28222.37115478516,608.0601806640625,4219950.0,60.0,worst,100000.0
23781.17218017578,21100.75323486328,432.5811767578125,2998240.0,70.0,worst,100000.0
23486.379150390625,20801.2978515625,432.5703125,2997940.0,62.0,worst,100000.0
32593.943176269528,28800.614929199215,610.898681640625,4239430.0,69.0,worst,100000.0
23770.36016845703,21088.868957519528,432.67529296875,2998390.0,71.0,worst,100000.0
23494.20483398437,20811.995788574215,432.5138549804688,2997550.0,61.0,worst,100000.0
23475.45526123047,20791.9921875,432.54205322265625,2997500.0,61.0,worst,100000.0
32402.1884765625,28624.576416015625,608.2030639648438,4221150.0,69.0,worst,100000.0
23801.11639404297,21118.14233398437,432.6676025390625,2998860.0,70.0,worst,100000.0
23418.63604736328,20734.484497070312,432.4638671875,2997570.0,61.0,worst,100000.0
23646.816955566406,20960.662231445312,438.3948974609375,2998910.0,61.0,worst,100000.0
23855.75329589844,21171.90930175781,432.6716918945313,2998950.0,71.0,worst,100000.0
31979.470825195312,28211.79901123047,608.1325073242188,4220460.0,60.0,worst,100000.0
32419.735961914062,28643.66827392578,607.9246215820312,4218880.0,69.0,worst,100000.0
23521.719482421875,20838.72436523437,432.5482177734375,2997770.0,70.0,worst,100000.0
23909.650329589844,21217.132690429688,443.4536743164063,3000400.0,70.0,worst,100000.0
23496.202941894528,20811.408020019528,432.5989990234375,2998030.0,62.0,worst,100000.0
32401.232788085938,28623.568725585938,608.018798828125,4219620.0,69.0,worst,100000.0
23867.91278076172,21179.384338378903,432.6165771484375,2998190.0,71.0,worst,100000.0
23492.06555175781,20804.661682128903,432.58813476562494,2998350.0,61.0,worst,100000.0
32054.07635498047,28286.38806152344,608.1455078125,4220590.0,60.0,worst,100000.0
32235.315307617188,28463.29754638672,608.2276000976562,4219150.0,60.0,worst,100000.0
23773.008361816406,21091.038696289062,432.6064453125,2998420.0,70.0,worst,100000.0
37171.83435058594,32975.26257324219,675.3717041015625,4684900.0,71.0,worst,125000.0
